area,item,element,year,unit,value,flag
Eswatini,Maize (corn),Production,2003,t,69273,A
Eswatini,Maize (corn),Yield,2003,kg/ha,1023.5,A
Eswatini,Maize (corn),Area harvested,2004,ha,54470,A
Eswatini,Maize (corn),Production,2004,t,68087,A
Eswatini,Maize (corn),Yield,2004,kg/ha,1250,A
Eswatini,Maize (corn),Area harvested,2005,ha,56425,A
Eswatini,Maize (corn),Production,2005,t,74540,A
Eswatini,Maize (corn),Yield,2005,kg/ha,1321,A
Eswatini,Maize (corn),Area harvested,2006,ha,46973,A
Eswatini,Maize (corn),Production,2006,t,67127,A
Eswatini,Maize (corn),Yield,2006,kg/ha,1429.1,A
Eswatini,Maize (corn),Area harvested,2007,ha,47409,A
Eswatini,Maize (corn),Production,2007,t,26170,A
Eswatini,Maize (corn),Yield,2007,kg/ha,552,A
Eswatini,Maize (corn),Area harvested,2008,ha,60355,A
Eswatini,Maize (corn),Production,2008,t,60012,A
Eswatini,Maize (corn),Yield,2008,kg/ha,994.3,A
Eswatini,Maize (corn),Area harvested,2009,ha,58334,X
Eswatini,Maize (corn),Production,2009,t,75068,X
Eswatini,Maize (corn),Yield,2009,kg/ha,1286.9,X
Eswatini,Maize (corn),Area harvested,2010,ha,70334,X
Eswatini,Maize (corn),Production,2010,t,84685,X
Eswatini,Maize (corn),Yield,2010,kg/ha,1204,X
Eswatini,Maize (corn),Area harvested,2011,ha,56064,X
Eswatini,Maize (corn),Production,2011,t,75418,X
Eswatini,Maize (corn),Yield,2011,kg/ha,1345.2,X
Eswatini,Maize (corn),Area harvested,2012,ha,61260,X
Eswatini,Maize (corn),Production,2012,t,81934,X
Eswatini,Maize (corn),Yield,2012,kg/ha,1337.5,X
Eswatini,Maize (corn),Area harvested,2013,ha,86754,X
Eswatini,Maize (corn),Production,2013,t,118871,X
Eswatini,Maize (corn),Yield,2013,kg/ha,1370.2,X
Eswatini,Maize (corn),Area harvested,2014,ha,87164,X
Eswatini,Maize (corn),Production,2014,t,119000,X
Eswatini,Maize (corn),Yield,2014,kg/ha,1365.2,X
Eswatini,Maize (corn),Area harvested,2015,ha,65040,I
Eswatini,Maize (corn),Production,2015,t,82000,X
Eswatini,Maize (corn),Yield,2015,kg/ha,1260.8,E
Eswatini,Maize (corn),Area harvested,2016,ha,26942,I
Eswatini,Maize (corn),Production,2016,t,33000,X
Eswatini,Maize (corn),Yield,2016,kg/ha,1224.8,E
