"artifact","topic","producer_step","state","current_sha256","last_checked_at","last_checked_by","last_changed_at","last_change_detected_by"
"metadata/project-country-crosswalk.csv",,,"present","3d009cd9104e1afacfc8dbe8093e7f644d506331e2d72383029dbb63bfb00f04","2026-09-02T22:13:46+02:00","scripts/integrate-data.R","2026-09-02T22:13:46+02:00","scripts/integrate-data.R"
"metadata/provenance.yml",,,"present","5fd80912beb723562315a3e5e4de8a2c508c42764aaf804493865383a5fe6e0c","2026-09-02T22:13:46+02:00","scripts/integrate-data.R","2026-09-02T22:13:45+02:00","scripts/validate-data.R"
"metadata/source-metadata.yml",,,"present","d60ec5a6cb6545f5e448950ce972dcdd49525aa08b6cd18205f841da09b15a2f","2026-09-02T22:13:45+02:00","scripts/validate-data.R","2026-09-02T22:13:45+02:00","scripts/validate-data.R"
"reports/data-integration.qmd",,,"present","2da5f480396102d994e21b910bcee4e9db0bf7bd9b89939c5e1a93e735d3fd5e","2026-09-02T22:14:00+02:00","reports/data-integration.qmd","2026-09-02T22:14:00+02:00","reports/data-integration.qmd"
"reports/data-validation.qmd",,,"present","f68437e3187a40310702abe9b5a98815727041aea15a66b6170f6754ed2f71ff","2026-09-02T22:13:55+02:00","reports/data-validation.qmd","2026-09-02T22:13:55+02:00","reports/data-validation.qmd"
"reports/data-visualization.qmd",,,"present","20060519b9bea702b5cf919974335f7fb2e56972c862b26d7d1c74cc6f2b872a","2026-09-02T22:14:07+02:00","reports/data-visualization.qmd","2026-09-02T22:14:07+02:00","reports/data-visualization.qmd"
"reports/descriptive-data-analysis.qmd",,,"present","b15cab712d43689b3fb1dd93ee063bfc0d53f2ac606fcccf0884c58b23d7eda9","2026-09-02T22:14:13+02:00","reports/descriptive-data-analysis.qmd","2026-09-02T22:14:13+02:00","reports/descriptive-data-analysis.qmd"
"reports/explanatory-modeling.qmd",,,"present","b5191f4feadd2c38a8600691a89c994f02d9cd804b1a80781a78a550e0c5333c","2026-09-02T22:14:19+02:00","reports/explanatory-modeling.qmd","2026-09-02T22:14:19+02:00","reports/explanatory-modeling.qmd"
"reports/maize-yield-report.qmd",,,"present","ac4e1d4c69c851898b9be2ec0c2555c47dc908343915f38d7256b675d3003083","2026-09-02T22:14:33+02:00","reports/maize-yield-report.qmd","2026-09-02T22:14:33+02:00","reports/maize-yield-report.qmd"
"reports/predictive-modeling.qmd",,,"present","fe6d30bec85dcf06cfe227b15a0fef1be2b006e9a35da651d7f03a04440d0955","2026-09-02T22:14:25+02:00","reports/predictive-modeling.qmd","2026-09-02T22:14:25+02:00","reports/predictive-modeling.qmd"
